year,nsamps_NTrawl,ntows_NTrawl,nsamps_STrawl,ntows_STrawl,nsamps_NonTrawl,ntows_NonTrawl
1981,30,1,737,42,NA,NA
1982,150,5,723,57,NA,NA
1983,NA,NA,1230,91,NA,NA
1984,NA,NA,2755,118,NA,NA
1985,NA,NA,3176,136,3,3
1986,NA,NA,978,42,9,9
1987,NA,NA,343,26,54,15
1988,NA,NA,140,15,8,7
1989,NA,NA,741,38,18,12
1990,390,33,517,32,24,14
1991,1059,47,532,41,NA,NA
1992,1227,52,448,36,75,4
1993,281,12,993,56,3,3
1994,40,1,1367,65,46,12
1995,24,2,2248,103,36,6
1996,497,15,2078,94,26,1
1997,2322,49,1720,92,36,2
1998,757,28,1130,57,130,7
1999,819,27,821,48,1852,73
2000,660,23,1027,63,447,20
2001,1632,45,1413,73,132,8
2002,2183,50,2320,108,1036,42
2003,2431,67,1909,80,834,29
2004,1509,53,1073,61,133,10
2005,1649,50,1393,75,620,34
2006,1573,53,3109,156,596,32
2007,2452,76,1893,98,393,17
2008,2660,90,2212,106,2037,80
2009,2854,85,2137,87,1298,60
2010,3130,91,1720,88,1346,75
2011,2381,67,2950,106,3276,163
2012,2262,67,2423,102,2419,137
2013,2519,84,2505,102,2010,115
2014,2036,73,1490,77,3283,149
2015,1915,65,1615,69,2971,152
2016,1495,59,2362,82,3087,147
2017,2158,75,1571,48,2504,139
2018,1828,78,1222,29,1333,91
2019,1539,68,740,29,1702,134
2020,951,47,897,26,696,64
2021,1505,80,294,15,1067,108
2022,1103,57,273,13,863,75
