"Year","(1-SPR)/(1-SPR_50%)","Interval","Exploitation Rate","Interval"
2013,"1.25","1.03–1.47","0.0124","0.0084–0.0165"
2014,"1.12","0.90–1.34","0.0103","0.0069–0.0137"
2015,"1.15","0.92–1.37","0.0109","0.0073–0.0145"
2016,"1.19","0.96–1.42","0.0117","0.0078–0.0155"
2017,"1.23","1.00–1.46","0.0125","0.0083–0.0167"
2018,"1.09","0.86–1.32","0.0103","0.0069–0.0138"
2019,"0.95","0.73–1.17","0.0085","0.0056–0.0114"
2020,"0.66","0.48–0.84","0.0053","0.0035–0.0071"
2021,"0.59","0.43–0.76","0.0047","0.0031–0.0063"
2022,"0.64","0.47–0.81","0.0052","0.0034–0.0070"
