"","Estimate","Interval"
"Unfished Spawning Output","22,145","18,166–26,124"
"Unfished Age 1+ Biomass (mt)","216,864","177,897–255,831"
"Unfished Recruitment (R0)","12,580","10,320–14,841"
"Spawning Output (2023)","8,717","5,545–11,889"
"Fraction Unfished (2023)","0.39","0.32–0.47"
"Reference Points Based SB40%","",""
"Proxy Spawning Output SB40%","8,858","7,266–10,450"
"SPR Resulting in SB40%","0.458","0.458–0.458"
"Exploitation Rate Resulting in SB40%","0.012","0.011–0.012"
"Yield with SPR Based On SB40% (mt)","1,160","971–1,348"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Output (SPR50)","9,880","8,105–11,656"
"SPR50","0.500"," - "
"Exploitation Rate Corresponding to SPR50","0.010","0.010–0.011"
"Yield with SPR50 at SB SPR (mt)","1,108","929–1,288"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Output at MSY (SB MSY)","6,155","5,057–7,253"
"SPR MSY","0.348","0.345–0.351"
"Exploitation Rate Corresponding to SPR MSY","0.017","0.016–0.017"
"MSY (mt)","1,227","1,027–1,426"
