"Year","Trawl_N","Trawl_S","Non-trawl","Total Landings","Total Dead"
1901,"0.00","0.00","0.09","0.09","0.11"
1902,"0.00","0.00","0.11","0.11","0.14"
1903,"0.00","0.00","0.13","0.13","0.16"
1904,"0.00","0.00","0.15","0.15","0.19"
1905,"0.00","0.00","0.17","0.17","0.21"
1906,"0.00","0.00","0.19","0.19","0.24"
1907,"0.00","0.00","0.21","0.21","0.27"
1908,"0.00","0.00","0.23","0.23","0.29"
1909,"0.00","0.00","0.26","0.26","0.32"
1910,"0.00","0.00","0.28","0.28","0.34"
1911,"0.00","0.00","0.30","0.30","0.37"
1912,"0.00","0.00","0.32","0.32","0.39"
1913,"0.00","0.00","0.34","0.34","0.42"
1914,"0.00","0.00","0.36","0.36","0.44"
1915,"0.00","0.00","0.38","0.38","0.47"
1916,"0.00","0.00","0.40","0.40","0.49"
1917,"0.00","0.00","0.42","0.42","0.52"
1918,"0.00","0.00","0.44","0.44","0.54"
1919,"0.00","0.00","0.46","0.46","0.57"
1920,"0.00","0.00","0.48","0.48","0.60"
1921,"0.00","0.00","0.50","0.50","0.62"
1922,"0.00","0.00","0.52","0.52","0.65"
1923,"0.00","0.00","0.54","0.54","0.67"
1924,"0.00","0.00","0.56","0.56","0.70"
1925,"0.00","0.00","0.58","0.58","0.72"
1926,"0.00","0.00","0.60","0.60","0.75"
1927,"0.00","0.00","0.63","0.63","0.78"
1928,"0.00","0.00","1.05","1.05","1.29"
1929,"0.00","0.00","1.66","1.66","2.05"
1930,"0.00","0.00","1.39","1.39","1.72"
1931,"0.00","0.00","1.13","1.13","1.40"
1932,"0.00","0.00","0.42","0.42","0.52"
1933,"0.00","0.00","0.62","0.62","0.77"
1934,"0.00","4.57","0.71","5.28","5.62"
1935,"0.00","6.33","0.67","6.99","7.40"
1936,"0.00","2.70","1.45","4.15","4.60"
1937,"0.01","5.42","1.44","6.87","7.42"
1938,"0.00","5.62","1.34","6.96","7.49"
1939,"0.01","5.81","0.42","6.24","6.56"
1940,"0.19","0.95","1.60","2.74","3.17"
1941,"0.29","1.96","2.65","4.90","5.64"
1942,"0.69","1.03","3.77","5.49","6.51"
1943,"3.06","1.43","10.17","14.66","17.50"
1944,"5.34","0.21","1.82","7.38","8.48"
1945,"5.34","0.99","0.68","7.01","7.87"
1946,"4.07","0.61","0.99","5.68","6.44"
1947,"4.75","0.04","0.72","5.51","6.27"
1948,"13.38","0.02","1.02","14.42","16.34"
1949,"13.52","0.02","0.34","13.88","15.67"
1950,"6.93","0.01","0.82","7.75","8.83"
1951,"11.16","0.00","0.59","11.76","13.32"
1952,"13.85","0.00","0.28","14.13","15.97"
1953,"2.63","2.96","0.24","5.83","6.35"
