"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 1+ Biomass (mt)","Spawning Output","Fraction Unfished"
2023,"759.92","745.62","79,336.10","7,417.58","0.38"
2024,"773.32","757.70","79,577.70","7,388.20","0.38"
2025,"786.24","769.46","79,817.90","7,364.16","0.38"
2026,"798.53","780.75","80,055.30","7,345.13","0.37"
2027,"810.09","791.49","80,288.90","7,330.73","0.37"
2028,"820.87","801.62","80,518.10","7,320.54","0.37"
2029,"830.87","811.13","80,742.50","7,314.09","0.37"
2030,"840.13","820.04","80,962.00","7,310.89","0.37"
2031,"848.69","828.38","81,176.70","7,310.45","0.37"
2032,"856.61","836.19","81,386.60","7,312.30","0.37"
2033,"863.94","843.50","81,592.20","7,315.99","0.37"
2034,"870.74","850.35","81,793.50","7,321.11","0.37"
