"","Estimate","Interval"
"Unfished Spawning Output","19,597","15,956–23,238"
"Unfished Age 1+ Biomass (mt)","189,270","154,106–224,434"
"Unfished Recruitment (R0)","11,169","9,094–13,244"
"Spawning Output (2023)","7,418","4,874–9,961"
"Fraction Unfished (2023)","0.38","0.30–0.45"
"Reference Points Based SB40%","",""
"Proxy Spawning Output SB40%","7,839","6,382–9,295"
"SPR Resulting in SB40%","0.458","0.458–0.458"
"Exploitation Rate Resulting in SB40%","0.012","0.012–0.012"
"Yield with SPR Based On SB40% (mt)","1,039","863–1,215"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Output (SPR50)","8,743","7,119–10,368"
"SPR50","0.500"," - "
"Exploitation Rate Corresponding to SPR50","0.010","0.010–0.011"
"Yield with SPR50 at SB SPR (mt)","993","825–1,160"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Output at MSY (SB MSY)","5,423","4,423–6,423"
"SPR MSY","0.347","0.345–0.350"
"Exploitation Rate Corresponding to SPR MSY","0.017","0.017–0.017"
"MSY (mt)","1,100","914–1,286"
