NTrawl,STrawl,NOther,SOther,Year,Season
0,2,0,0,1901,1
0,2,0,0,1902,1
0,4,0,0,1903,1
0,5,0,0,1904,1
0,6,0,0,1905,1
0,8,0,0,1906,1
0,9,0,0,1907,1
0,10,0,0,1908,1
0,11,0,0,1909,1
0,13,0,0,1910,1
0,14,0,0,1911,1
0,15,0,0,1912,1
0,17,0,0,1913,1
0,17,0,0,1914,1
0,19,0,0,1915,1
0,20,0,0,1916,1
0,21,0,0,1917,1
0,23,0,0,1918,1
0,24,0,0,1919,1
0,25,0,0,1920,1
0,26,0,0,1921,1
0,28,0,0,1922,1
0,29,0,0,1923,1
0,30,0,0,1924,1
0,32,0,0,1925,1
0,32,0,0,1926,1
0,34,0,0,1927,1
0,35,0,0,1928,1
0,36,0,0,1929,1
0,38,0,0,1930,1
0,39,0,0,1931,1
0,40,0,0,1932,1
0,49,0,0,1933,1
0,49,0,0,1934,1
0,49,0,0,1935,1
0,51,0,0,1936,1
0,47,0,0,1937,1
0,53,0,0,1938,1
0,63,0,0,1939,1
0,76,0,0,1940,1
0,109,0,0,1941,1
0,122,0,0,1942,1
0,269,0,0,1943,1
0,380,0,0,1944,1
0,453,0,0,1945,1
0,216,0,0,1946,1
0,48,0,0,1947,1
0,152,0,0,1948,1
0,168,0,0,1949,1
0,153,0,0,1950,1
0,305,0,0,1951,1
0,176,0,0,1952,1
0,68,0,0,1953,1
0,128,0,0,1954,1
0,128,0,0,1955,1
0,776,0,0,1956,1
0,286,0,0,1957,1
0,296,0,0,1958,1
0,398,0,0,1959,1
0,472,0,0,1960,1
0,437,0,0,1961,1
0,230,0,0,1962,1
0,285,0,0,1963,1
12,172,0,0,1964,1
20,400,0,0,1965,1
612,543,0,0,1966,1
369,864,0,0,1967,1
168,1835,0,0,1968,1
155,400,0,0,1969,1
149,557,0,0,1970,1
260,582,0,0,1971,1
389,1297,0,0,1972,1
712,2377,0,0,1973,1
215,1244,0,0,1974,1
405,1867,0,0,1975,1
52,992,0,0,1976,1
91,1359,0,0,1977,1
76,1136,0,0,1978,1
109,1720,0,0,1979,1
87,1192,0,0,1980,1
242.3,1622.8,0,0.5,1981,1
553.7,1655.4,0,0.5,1982,1
1492.8,1562.1,0,0.5,1983,1
1681.4,1961.2,0,0.5,1984,1
1345.9,2559.9,0,1.7,1985,1
457.7,2422.3,0,2.6,1986,1
558.3,1953,4.2,3.2,1987,1
696.4,2163.1,23.1,2.1,1988,1
1340.4,3506.4,29.3,9.9,1989,1
1917.7,2227.5,27,3.3,1990,1
2157,1306.4,53.8,1.5,1991,1
1669.2,1625.1,51.9,9.3,1992,1
2037.1,1773.9,24.4,1.1,1993,1
1835.3,1537.8,20.3,2.9,1994,1
815,1064.2,28.1,32.4,1995,1
686.2,830.9,21.2,80.6,1996,1
579.5,771.3,23,40.2,1997,1
504.7,668.9,17,47.3,1998,1
318.9,398.1,17.6,99.3,1999,1
281.9,489.8,13.9,53.3,2000,1
236.2,241.2,12.6,45.6,2001,1
231.4,428.2,10.4,104.1,2002,1
270.2,374.4,10.7,155.2,2003,1
294.6,319.4,10.5,128.8,2004,1
254.7,252.4,10.7,138.9,2005,1
295.7,246.8,15.4,143.7,2006,1
562.4,278.9,16.2,142.5,2007,1
902,325.3,19.8,175.4,2008,1
947.7,382.1,28.5,172.2,2009,1
770.3,356.7,22.2,206.1,2010,1
424.3,286.5,24.3,237,2011,1
380.5,322.5,35.7,155.1,2012,1
