Year,category,present,group
1908,AFSCTriennialSurvey1,0,survey
1909,AFSCTriennialSurvey1,0,survey
1910,AFSCTriennialSurvey1,0,survey
1911,AFSCTriennialSurvey1,0,survey
1912,AFSCTriennialSurvey1,0,survey
1913,AFSCTriennialSurvey1,0,survey
1914,AFSCTriennialSurvey1,0,survey
1915,AFSCTriennialSurvey1,0,survey
1916,AFSCTriennialSurvey1,0,survey
1917,AFSCTriennialSurvey1,0,survey
1918,AFSCTriennialSurvey1,0,survey
1919,AFSCTriennialSurvey1,0,survey
1920,AFSCTriennialSurvey1,0,survey
1921,AFSCTriennialSurvey1,0,survey
1922,AFSCTriennialSurvey1,0,survey
1923,AFSCTriennialSurvey1,0,survey
1924,AFSCTriennialSurvey1,0,survey
1925,AFSCTriennialSurvey1,0,survey
1926,AFSCTriennialSurvey1,0,survey
1927,AFSCTriennialSurvey1,0,survey
1928,AFSCTriennialSurvey1,0,survey
1929,AFSCTriennialSurvey1,0,survey
1930,AFSCTriennialSurvey1,0,survey
1931,AFSCTriennialSurvey1,0,survey
1932,AFSCTriennialSurvey1,0,survey
1933,AFSCTriennialSurvey1,0,survey
1934,AFSCTriennialSurvey1,0,survey
1935,AFSCTriennialSurvey1,0,survey
1936,AFSCTriennialSurvey1,0,survey
1937,AFSCTriennialSurvey1,0,survey
1938,AFSCTriennialSurvey1,0,survey
1939,AFSCTriennialSurvey1,0,survey
1940,AFSCTriennialSurvey1,0,survey
1941,AFSCTriennialSurvey1,0,survey
1942,AFSCTriennialSurvey1,0,survey
1943,AFSCTriennialSurvey1,0,survey
1944,AFSCTriennialSurvey1,0,survey
1945,AFSCTriennialSurvey1,0,survey
1946,AFSCTriennialSurvey1,0,survey
1947,AFSCTriennialSurvey1,0,survey
1948,AFSCTriennialSurvey1,0,survey
1949,AFSCTriennialSurvey1,0,survey
1950,AFSCTriennialSurvey1,0,survey
1951,AFSCTriennialSurvey1,0,survey
1952,AFSCTriennialSurvey1,0,survey
1953,AFSCTriennialSurvey1,0,survey
1954,AFSCTriennialSurvey1,0,survey
1955,AFSCTriennialSurvey1,0,survey
1956,AFSCTriennialSurvey1,0,survey
1957,AFSCTriennialSurvey1,0,survey
1958,AFSCTriennialSurvey1,0,survey
1959,AFSCTriennialSurvey1,0,survey
1960,AFSCTriennialSurvey1,0,survey
1961,AFSCTriennialSurvey1,0,survey
1962,AFSCTriennialSurvey1,0,survey
1963,AFSCTriennialSurvey1,0,survey
1964,AFSCTriennialSurvey1,0,survey
1965,AFSCTriennialSurvey1,0,survey
1966,AFSCTriennialSurvey1,0,survey
1967,AFSCTriennialSurvey1,0,survey
1968,AFSCTriennialSurvey1,0,survey
1969,AFSCTriennialSurvey1,0,survey
1970,AFSCTriennialSurvey1,0,survey
1971,AFSCTriennialSurvey1,0,survey
1972,AFSCTriennialSurvey1,0,survey
1973,AFSCTriennialSurvey1,0,survey
1974,AFSCTriennialSurvey1,0,survey
1975,AFSCTriennialSurvey1,0,survey
1976,AFSCTriennialSurvey1,0,survey
1977,AFSCTriennialSurvey1,0,survey
1978,AFSCTriennialSurvey1,0,survey
1979,AFSCTriennialSurvey1,0,survey
1980,AFSCTriennialSurvey1,1,survey
1981,AFSCTriennialSurvey1,0,survey
1982,AFSCTriennialSurvey1,0,survey
1983,AFSCTriennialSurvey1,1,survey
1984,AFSCTriennialSurvey1,0,survey
1985,AFSCTriennialSurvey1,0,survey
1986,AFSCTriennialSurvey1,1,survey
1987,AFSCTriennialSurvey1,0,survey
1988,AFSCTriennialSurvey1,0,survey
1989,AFSCTriennialSurvey1,1,survey
1990,AFSCTriennialSurvey1,0,survey
1991,AFSCTriennialSurvey1,0,survey
1992,AFSCTriennialSurvey1,1,survey
1993,AFSCTriennialSurvey1,0,survey
1994,AFSCTriennialSurvey1,0,survey
1995,AFSCTriennialSurvey1,1,survey
1996,AFSCTriennialSurvey1,0,survey
1997,AFSCTriennialSurvey1,0,survey
1998,AFSCTriennialSurvey1,1,survey
1999,AFSCTriennialSurvey1,0,survey
2000,AFSCTriennialSurvey1,0,survey
2001,AFSCTriennialSurvey1,1,survey
2002,AFSCTriennialSurvey1,0,survey
2003,AFSCTriennialSurvey1,0,survey
2004,AFSCTriennialSurvey1,1,survey
2005,AFSCTriennialSurvey1,0,survey
2006,AFSCTriennialSurvey1,0,survey
2007,AFSCTriennialSurvey1,0,survey
2008,AFSCTriennialSurvey1,0,survey
2009,AFSCTriennialSurvey1,0,survey
2010,AFSCTriennialSurvey1,0,survey
2011,AFSCTriennialSurvey1,0,survey
2012,AFSCTriennialSurvey1,0,survey
2013,AFSCTriennialSurvey1,0,survey
2014,AFSCTriennialSurvey1,0,survey
2015,AFSCTriennialSurvey1,0,survey
2016,AFSCTriennialSurvey1,0,survey
2017,AFSCTriennialSurvey1,0,survey
2018,AFSCTriennialSurvey1,0,survey
2019,AFSCTriennialSurvey1,0,survey
2020,AFSCTriennialSurvey1,0,survey
2021,AFSCTriennialSurvey1,0,survey
2022,AFSCTriennialSurvey1,0,survey
2023,AFSCTriennialSurvey1,0,survey
1901,AFSCTriennialSurvey2,0,survey
1902,AFSCTriennialSurvey2,0,survey
1903,AFSCTriennialSurvey2,0,survey
1904,AFSCTriennialSurvey2,0,survey
1905,AFSCTriennialSurvey2,0,survey
1906,AFSCTriennialSurvey2,0,survey
1907,AFSCTriennialSurvey2,0,survey
1908,AFSCTriennialSurvey2,0,survey
1909,AFSCTriennialSurvey2,0,survey
1910,AFSCTriennialSurvey2,0,survey
1911,AFSCTriennialSurvey2,0,survey
1912,AFSCTriennialSurvey2,0,survey
1913,AFSCTriennialSurvey2,0,survey
1914,AFSCTriennialSurvey2,0,survey
1915,AFSCTriennialSurvey2,0,survey
1916,AFSCTriennialSurvey2,0,survey
1917,AFSCTriennialSurvey2,0,survey
1918,AFSCTriennialSurvey2,0,survey
1919,AFSCTriennialSurvey2,0,survey
1920,AFSCTriennialSurvey2,0,survey
1921,AFSCTriennialSurvey2,0,survey
1922,AFSCTriennialSurvey2,0,survey
1923,AFSCTriennialSurvey2,0,survey
1924,AFSCTriennialSurvey2,0,survey
1925,AFSCTriennialSurvey2,0,survey
1926,AFSCTriennialSurvey2,0,survey
1927,AFSCTriennialSurvey2,0,survey
1928,AFSCTriennialSurvey2,0,survey
1929,AFSCTriennialSurvey2,0,survey
1930,AFSCTriennialSurvey2,0,survey
1931,AFSCTriennialSurvey2,0,survey
1932,AFSCTriennialSurvey2,0,survey
1933,AFSCTriennialSurvey2,0,survey
1934,AFSCTriennialSurvey2,0,survey
1935,AFSCTriennialSurvey2,0,survey
1936,AFSCTriennialSurvey2,0,survey
1937,AFSCTriennialSurvey2,0,survey
1938,AFSCTriennialSurvey2,0,survey
1939,AFSCTriennialSurvey2,0,survey
1940,AFSCTriennialSurvey2,0,survey
1941,AFSCTriennialSurvey2,0,survey
1942,AFSCTriennialSurvey2,0,survey
1943,AFSCTriennialSurvey2,0,survey
1944,AFSCTriennialSurvey2,0,survey
1945,AFSCTriennialSurvey2,0,survey
1946,AFSCTriennialSurvey2,0,survey
1947,AFSCTriennialSurvey2,0,survey
1948,AFSCTriennialSurvey2,0,survey
1949,AFSCTriennialSurvey2,0,survey
1950,AFSCTriennialSurvey2,0,survey
1951,AFSCTriennialSurvey2,0,survey
1952,AFSCTriennialSurvey2,0,survey
1953,AFSCTriennialSurvey2,0,survey
1954,AFSCTriennialSurvey2,0,survey
1955,AFSCTriennialSurvey2,0,survey
1956,AFSCTriennialSurvey2,0,survey
1957,AFSCTriennialSurvey2,0,survey
1958,AFSCTriennialSurvey2,0,survey
1959,AFSCTriennialSurvey2,0,survey
1960,AFSCTriennialSurvey2,0,survey
1961,AFSCTriennialSurvey2,0,survey
1962,AFSCTriennialSurvey2,0,survey
1963,AFSCTriennialSurvey2,0,survey
1964,AFSCTriennialSurvey2,0,survey
1965,AFSCTriennialSurvey2,0,survey
1966,AFSCTriennialSurvey2,0,survey
1967,AFSCTriennialSurvey2,0,survey
1968,AFSCTriennialSurvey2,0,survey
1969,AFSCTriennialSurvey2,0,survey
1970,AFSCTriennialSurvey2,0,survey
1971,AFSCTriennialSurvey2,0,survey
1972,AFSCTriennialSurvey2,0,survey
1973,AFSCTriennialSurvey2,0,survey
1974,AFSCTriennialSurvey2,0,survey
1975,AFSCTriennialSurvey2,0,survey
1976,AFSCTriennialSurvey2,0,survey
1977,AFSCTriennialSurvey2,0,survey
1978,AFSCTriennialSurvey2,0,survey
1979,AFSCTriennialSurvey2,0,survey
1980,AFSCTriennialSurvey2,0,survey
1981,AFSCTriennialSurvey2,0,survey
1982,AFSCTriennialSurvey2,0,survey
1983,AFSCTriennialSurvey2,0,survey
1984,AFSCTriennialSurvey2,0,survey
1985,AFSCTriennialSurvey2,0,survey
1986,AFSCTriennialSurvey2,0,survey
1987,AFSCTriennialSurvey2,0,survey
1988,AFSCTriennialSurvey2,0,survey
1989,AFSCTriennialSurvey2,0,survey
1990,AFSCTriennialSurvey2,0,survey
1991,AFSCTriennialSurvey2,0,survey
1992,AFSCTriennialSurvey2,0,survey
1993,AFSCTriennialSurvey2,0,survey
1994,AFSCTriennialSurvey2,0,survey
1995,AFSCTriennialSurvey2,1,survey
1996,AFSCTriennialSurvey2,0,survey
1997,AFSCTriennialSurvey2,0,survey
1998,AFSCTriennialSurvey2,1,survey
1999,AFSCTriennialSurvey2,0,survey
2000,AFSCTriennialSurvey2,0,survey
2001,AFSCTriennialSurvey2,1,survey
2002,AFSCTriennialSurvey2,0,survey
2003,AFSCTriennialSurvey2,0,survey
2004,AFSCTriennialSurvey2,1,survey
2005,AFSCTriennialSurvey2,0,survey
2006,AFSCTriennialSurvey2,0,survey
2007,AFSCTriennialSurvey2,0,survey
2008,AFSCTriennialSurvey2,0,survey
2009,AFSCTriennialSurvey2,0,survey
2010,AFSCTriennialSurvey2,0,survey
2011,AFSCTriennialSurvey2,0,survey
2012,AFSCTriennialSurvey2,0,survey
2013,AFSCTriennialSurvey2,0,survey
2014,AFSCTriennialSurvey2,0,survey
2015,AFSCTriennialSurvey2,0,survey
2016,AFSCTriennialSurvey2,0,survey
2017,AFSCTriennialSurvey2,0,survey
2018,AFSCTriennialSurvey2,0,survey
2019,AFSCTriennialSurvey2,0,survey
2020,AFSCTriennialSurvey2,0,survey
2021,AFSCTriennialSurvey2,0,survey
2022,AFSCTriennialSurvey2,0,survey
2023,AFSCTriennialSurvey2,0,survey
1901,AFSCSlopeSurvey,0,survey
1902,AFSCSlopeSurvey,0,survey
1903,AFSCSlopeSurvey,0,survey
1904,AFSCSlopeSurvey,0,survey
1905,AFSCSlopeSurvey,0,survey
1906,AFSCSlopeSurvey,0,survey
1907,AFSCSlopeSurvey,0,survey
1908,AFSCSlopeSurvey,0,survey
1909,AFSCSlopeSurvey,0,survey
1910,AFSCSlopeSurvey,0,survey
1911,AFSCSlopeSurvey,0,survey
1912,AFSCSlopeSurvey,0,survey
1913,AFSCSlopeSurvey,0,survey
1914,AFSCSlopeSurvey,0,survey
1915,AFSCSlopeSurvey,0,survey
1916,AFSCSlopeSurvey,0,survey
1917,AFSCSlopeSurvey,0,survey
1918,AFSCSlopeSurvey,0,survey
1919,AFSCSlopeSurvey,0,survey
1920,AFSCSlopeSurvey,0,survey
1921,AFSCSlopeSurvey,0,survey
1922,AFSCSlopeSurvey,0,survey
1923,AFSCSlopeSurvey,0,survey
1924,AFSCSlopeSurvey,0,survey
1925,AFSCSlopeSurvey,0,survey
1926,AFSCSlopeSurvey,0,survey
1927,AFSCSlopeSurvey,0,survey
1928,AFSCSlopeSurvey,0,survey
1929,AFSCSlopeSurvey,0,survey
1930,AFSCSlopeSurvey,0,survey
1931,AFSCSlopeSurvey,0,survey
1932,AFSCSlopeSurvey,0,survey
1933,AFSCSlopeSurvey,0,survey
1934,AFSCSlopeSurvey,0,survey
1935,AFSCSlopeSurvey,0,survey
1936,AFSCSlopeSurvey,0,survey
1937,AFSCSlopeSurvey,0,survey
1938,AFSCSlopeSurvey,0,survey
1939,AFSCSlopeSurvey,0,survey
1940,AFSCSlopeSurvey,0,survey
1941,AFSCSlopeSurvey,0,survey
1942,AFSCSlopeSurvey,0,survey
1943,AFSCSlopeSurvey,0,survey
1944,AFSCSlopeSurvey,0,survey
1945,AFSCSlopeSurvey,0,survey
1946,AFSCSlopeSurvey,0,survey
1947,AFSCSlopeSurvey,0,survey
1948,AFSCSlopeSurvey,0,survey
1949,AFSCSlopeSurvey,0,survey
1950,AFSCSlopeSurvey,0,survey
1951,AFSCSlopeSurvey,0,survey
1952,AFSCSlopeSurvey,0,survey
1953,AFSCSlopeSurvey,0,survey
1954,AFSCSlopeSurvey,0,survey
1955,AFSCSlopeSurvey,0,survey
1956,AFSCSlopeSurvey,0,survey
1957,AFSCSlopeSurvey,0,survey
1958,AFSCSlopeSurvey,0,survey
1959,AFSCSlopeSurvey,0,survey
1960,AFSCSlopeSurvey,0,survey
1961,AFSCSlopeSurvey,0,survey
1962,AFSCSlopeSurvey,0,survey
1963,AFSCSlopeSurvey,0,survey
1964,AFSCSlopeSurvey,0,survey
1965,AFSCSlopeSurvey,0,survey
1966,AFSCSlopeSurvey,0,survey
1967,AFSCSlopeSurvey,0,survey
1968,AFSCSlopeSurvey,0,survey
1969,AFSCSlopeSurvey,0,survey
1970,AFSCSlopeSurvey,0,survey
1971,AFSCSlopeSurvey,0,survey
1972,AFSCSlopeSurvey,0,survey
1973,AFSCSlopeSurvey,0,survey
1974,AFSCSlopeSurvey,0,survey
1975,AFSCSlopeSurvey,0,survey
1976,AFSCSlopeSurvey,0,survey
1977,AFSCSlopeSurvey,0,survey
1978,AFSCSlopeSurvey,0,survey
1979,AFSCSlopeSurvey,0,survey
1980,AFSCSlopeSurvey,0,survey
1981,AFSCSlopeSurvey,0,survey
1982,AFSCSlopeSurvey,0,survey
1983,AFSCSlopeSurvey,0,survey
1984,AFSCSlopeSurvey,0,survey
1985,AFSCSlopeSurvey,0,survey
1986,AFSCSlopeSurvey,0,survey
1987,AFSCSlopeSurvey,0,survey
1988,AFSCSlopeSurvey,0,survey
1989,AFSCSlopeSurvey,0,survey
1990,AFSCSlopeSurvey,0,survey
1991,AFSCSlopeSurvey,0,survey
1992,AFSCSlopeSurvey,0,survey
1993,AFSCSlopeSurvey,0,survey
1994,AFSCSlopeSurvey,0,survey
1995,AFSCSlopeSurvey,0,survey
1996,AFSCSlopeSurvey,0,survey
1997,AFSCSlopeSurvey,1,survey
1998,AFSCSlopeSurvey,0,survey
1999,AFSCSlopeSurvey,1,survey
2000,AFSCSlopeSurvey,1,survey
2001,AFSCSlopeSurvey,1,survey
2002,AFSCSlopeSurvey,0,survey
2003,AFSCSlopeSurvey,0,survey
2004,AFSCSlopeSurvey,0,survey
2005,AFSCSlopeSurvey,0,survey
2006,AFSCSlopeSurvey,0,survey
2007,AFSCSlopeSurvey,0,survey
2008,AFSCSlopeSurvey,0,survey
2009,AFSCSlopeSurvey,0,survey
2010,AFSCSlopeSurvey,0,survey
2011,AFSCSlopeSurvey,0,survey
2012,AFSCSlopeSurvey,0,survey
2013,AFSCSlopeSurvey,0,survey
2014,AFSCSlopeSurvey,0,survey
2015,AFSCSlopeSurvey,0,survey
2016,AFSCSlopeSurvey,0,survey
2017,AFSCSlopeSurvey,0,survey
2018,AFSCSlopeSurvey,0,survey
2019,AFSCSlopeSurvey,0,survey
2020,AFSCSlopeSurvey,0,survey
2021,AFSCSlopeSurvey,0,survey
2022,AFSCSlopeSurvey,0,survey
2023,AFSCSlopeSurvey,0,survey
1901,ComboSurvey,0,survey
1902,ComboSurvey,0,survey
1903,ComboSurvey,0,survey
1904,ComboSurvey,0,survey
1905,ComboSurvey,0,survey
1906,ComboSurvey,0,survey
1907,ComboSurvey,0,survey
1908,ComboSurvey,0,survey
1909,ComboSurvey,0,survey
1910,ComboSurvey,0,survey
1911,ComboSurvey,0,survey
1912,ComboSurvey,0,survey
1913,ComboSurvey,0,survey
1914,ComboSurvey,0,survey
1915,ComboSurvey,0,survey
1916,ComboSurvey,0,survey
1917,ComboSurvey,0,survey
1918,ComboSurvey,0,survey
1919,ComboSurvey,0,survey
1920,ComboSurvey,0,survey
1921,ComboSurvey,0,survey
1922,ComboSurvey,0,survey
1923,ComboSurvey,0,survey
1924,ComboSurvey,0,survey
1925,ComboSurvey,0,survey
1926,ComboSurvey,0,survey
1927,ComboSurvey,0,survey
1928,ComboSurvey,0,survey
1929,ComboSurvey,0,survey
1930,ComboSurvey,0,survey
1931,ComboSurvey,0,survey
1932,ComboSurvey,0,survey
1933,ComboSurvey,0,survey
1934,ComboSurvey,0,survey
1935,ComboSurvey,0,survey
1936,ComboSurvey,0,survey
1937,ComboSurvey,0,survey
1938,ComboSurvey,0,survey
1939,ComboSurvey,0,survey
1940,ComboSurvey,0,survey
1941,ComboSurvey,0,survey
1942,ComboSurvey,0,survey
1943,ComboSurvey,0,survey
1944,ComboSurvey,0,survey
1945,ComboSurvey,0,survey
1946,ComboSurvey,0,survey
1947,ComboSurvey,0,survey
1948,ComboSurvey,0,survey
1949,ComboSurvey,0,survey
1950,ComboSurvey,0,survey
1951,ComboSurvey,0,survey
1952,ComboSurvey,0,survey
1953,ComboSurvey,0,survey
1954,ComboSurvey,0,survey
1955,ComboSurvey,0,survey
1956,ComboSurvey,0,survey
1957,ComboSurvey,0,survey
1958,ComboSurvey,0,survey
1959,ComboSurvey,0,survey
1960,ComboSurvey,0,survey
1961,ComboSurvey,0,survey
1962,ComboSurvey,0,survey
1963,ComboSurvey,0,survey
1964,ComboSurvey,0,survey
1965,ComboSurvey,0,survey
1966,ComboSurvey,0,survey
1967,ComboSurvey,0,survey
1968,ComboSurvey,0,survey
1969,ComboSurvey,0,survey
1970,ComboSurvey,0,survey
1971,ComboSurvey,0,survey
1972,ComboSurvey,0,survey
1973,ComboSurvey,0,survey
1974,ComboSurvey,0,survey
1975,ComboSurvey,0,survey
1976,ComboSurvey,0,survey
1977,ComboSurvey,0,survey
1978,ComboSurvey,0,survey
1979,ComboSurvey,0,survey
1980,ComboSurvey,0,survey
1981,ComboSurvey,0,survey
1982,ComboSurvey,0,survey
1983,ComboSurvey,0,survey
1984,ComboSurvey,0,survey
1985,ComboSurvey,0,survey
1986,ComboSurvey,0,survey
1987,ComboSurvey,0,survey
1988,ComboSurvey,0,survey
1989,ComboSurvey,0,survey
1990,ComboSurvey,0,survey
1991,ComboSurvey,0,survey
1992,ComboSurvey,0,survey
1993,ComboSurvey,0,survey
1994,ComboSurvey,0,survey
1995,ComboSurvey,0,survey
1996,ComboSurvey,0,survey
1997,ComboSurvey,0,survey
1998,ComboSurvey,1,survey
1999,ComboSurvey,1,survey
2000,ComboSurvey,1,survey
2001,ComboSurvey,1,survey
2002,ComboSurvey,1,survey
2003,ComboSurvey,1,survey
2004,ComboSurvey,1,survey
2005,ComboSurvey,1,survey
2006,ComboSurvey,1,survey
2007,ComboSurvey,1,survey
2008,ComboSurvey,1,survey
2009,ComboSurvey,1,survey
2010,ComboSurvey,1,survey
2011,ComboSurvey,1,survey
2012,ComboSurvey,1,survey
2013,ComboSurvey,1,survey
2014,ComboSurvey,1,survey
2015,ComboSurvey,1,survey
2016,ComboSurvey,1,survey
2017,ComboSurvey,1,survey
2018,ComboSurvey,1,survey
2019,ComboSurvey,1,survey
2020,ComboSurvey,0,survey
2021,ComboSurvey,1,survey
2022,ComboSurvey,1,survey
2023,ComboSurvey,1,survey
1901,L_Ntrawl,0,lengthcomps
1902,L_Ntrawl,0,lengthcomps
1903,L_Ntrawl,0,lengthcomps
1904,L_Ntrawl,0,lengthcomps
1905,L_Ntrawl,0,lengthcomps
1906,L_Ntrawl,0,lengthcomps
1907,L_Ntrawl,0,lengthcomps
1908,L_Ntrawl,0,lengthcomps
1909,L_Ntrawl,0,lengthcomps
1910,L_Ntrawl,0,lengthcomps
1911,L_Ntrawl,0,lengthcomps
1912,L_Ntrawl,0,lengthcomps
1913,L_Ntrawl,0,lengthcomps
1914,L_Ntrawl,0,lengthcomps
1915,L_Ntrawl,0,lengthcomps
1916,L_Ntrawl,0,lengthcomps
1917,L_Ntrawl,0,lengthcomps
1918,L_Ntrawl,0,lengthcomps
1919,L_Ntrawl,0,lengthcomps
1920,L_Ntrawl,0,lengthcomps
1921,L_Ntrawl,0,lengthcomps
1922,L_Ntrawl,0,lengthcomps
1923,L_Ntrawl,0,lengthcomps
1924,L_Ntrawl,0,lengthcomps
1925,L_Ntrawl,0,lengthcomps
1926,L_Ntrawl,0,lengthcomps
1927,L_Ntrawl,0,lengthcomps
1928,L_Ntrawl,0,lengthcomps
1929,L_Ntrawl,0,lengthcomps
1930,L_Ntrawl,0,lengthcomps
1931,L_Ntrawl,0,lengthcomps
1932,L_Ntrawl,0,lengthcomps
1933,L_Ntrawl,0,lengthcomps
1934,L_Ntrawl,0,lengthcomps
1935,L_Ntrawl,0,lengthcomps
1936,L_Ntrawl,0,lengthcomps
1937,L_Ntrawl,0,lengthcomps
1938,L_Ntrawl,0,lengthcomps
1939,L_Ntrawl,0,lengthcomps
1940,L_Ntrawl,0,lengthcomps
1941,L_Ntrawl,0,lengthcomps
1942,L_Ntrawl,0,lengthcomps
1943,L_Ntrawl,0,lengthcomps
1944,L_Ntrawl,0,lengthcomps
1945,L_Ntrawl,0,lengthcomps
1946,L_Ntrawl,0,lengthcomps
1947,L_Ntrawl,0,lengthcomps
1948,L_Ntrawl,0,lengthcomps
1949,L_Ntrawl,0,lengthcomps
1950,L_Ntrawl,0,lengthcomps
1951,L_Ntrawl,0,lengthcomps
1952,L_Ntrawl,0,lengthcomps
1953,L_Ntrawl,0,lengthcomps
1954,L_Ntrawl,0,lengthcomps
1955,L_Ntrawl,0,lengthcomps
1956,L_Ntrawl,0,lengthcomps
1957,L_Ntrawl,0,lengthcomps
1958,L_Ntrawl,0,lengthcomps
1959,L_Ntrawl,0,lengthcomps
1960,L_Ntrawl,0,lengthcomps
1961,L_Ntrawl,0,lengthcomps
1962,L_Ntrawl,0,lengthcomps
1963,L_Ntrawl,0,lengthcomps
1964,L_Ntrawl,0,lengthcomps
1965,L_Ntrawl,0,lengthcomps
1966,L_Ntrawl,0,lengthcomps
1967,L_Ntrawl,0,lengthcomps
1968,L_Ntrawl,0,lengthcomps
1969,L_Ntrawl,0,lengthcomps
1970,L_Ntrawl,0,lengthcomps
1971,L_Ntrawl,0,lengthcomps
1972,L_Ntrawl,0,lengthcomps
1973,L_Ntrawl,0,lengthcomps
1974,L_Ntrawl,0,lengthcomps
1975,L_Ntrawl,0,lengthcomps
1976,L_Ntrawl,0,lengthcomps
1977,L_Ntrawl,0,lengthcomps
1978,L_Ntrawl,0,lengthcomps
1979,L_Ntrawl,1,lengthcomps
1980,L_Ntrawl,1,lengthcomps
1981,L_Ntrawl,1,lengthcomps
1982,L_Ntrawl,1,lengthcomps
1983,L_Ntrawl,0,lengthcomps
1984,L_Ntrawl,0,lengthcomps
1985,L_Ntrawl,0,lengthcomps
1986,L_Ntrawl,0,lengthcomps
1987,L_Ntrawl,0,lengthcomps
1988,L_Ntrawl,0,lengthcomps
1989,L_Ntrawl,0,lengthcomps
1990,L_Ntrawl,1,lengthcomps
1991,L_Ntrawl,1,lengthcomps
1992,L_Ntrawl,1,lengthcomps
1993,L_Ntrawl,1,lengthcomps
1994,L_Ntrawl,0,lengthcomps
1995,L_Ntrawl,0,lengthcomps
1996,L_Ntrawl,1,lengthcomps
1997,L_Ntrawl,1,lengthcomps
1998,L_Ntrawl,1,lengthcomps
1999,L_Ntrawl,1,lengthcomps
2000,L_Ntrawl,1,lengthcomps
2001,L_Ntrawl,1,lengthcomps
2002,L_Ntrawl,1,lengthcomps
2003,L_Ntrawl,1,lengthcomps
2004,L_Ntrawl,1,lengthcomps
2005,L_Ntrawl,1,lengthcomps
2006,L_Ntrawl,1,lengthcomps
2007,L_Ntrawl,1,lengthcomps
2008,L_Ntrawl,1,lengthcomps
2009,L_Ntrawl,1,lengthcomps
2010,L_Ntrawl,1,lengthcomps
2011,L_Ntrawl,1,lengthcomps
2012,L_Ntrawl,1,lengthcomps
2013,L_Ntrawl,1,lengthcomps
2014,L_Ntrawl,1,lengthcomps
2015,L_Ntrawl,1,lengthcomps
2016,L_Ntrawl,1,lengthcomps
2017,L_Ntrawl,1,lengthcomps
2018,L_Ntrawl,1,lengthcomps
2019,L_Ntrawl,1,lengthcomps
2020,L_Ntrawl,1,lengthcomps
2021,L_Ntrawl,1,lengthcomps
2022,L_Ntrawl,1,lengthcomps
2023,L_Ntrawl,1,lengthcomps
1901,L_Strawl,0,lengthcomps
1902,L_Strawl,0,lengthcomps
1903,L_Strawl,0,lengthcomps
1904,L_Strawl,0,lengthcomps
1905,L_Strawl,0,lengthcomps
1906,L_Strawl,0,lengthcomps
1907,L_Strawl,0,lengthcomps
1908,L_Strawl,0,lengthcomps
1909,L_Strawl,0,lengthcomps
1910,L_Strawl,0,lengthcomps
1911,L_Strawl,0,lengthcomps
1912,L_Strawl,0,lengthcomps
1913,L_Strawl,0,lengthcomps
1914,L_Strawl,0,lengthcomps
1915,L_Strawl,0,lengthcomps
1916,L_Strawl,0,lengthcomps
1917,L_Strawl,0,lengthcomps
1918,L_Strawl,0,lengthcomps
1919,L_Strawl,0,lengthcomps
1920,L_Strawl,0,lengthcomps
1921,L_Strawl,0,lengthcomps
1922,L_Strawl,0,lengthcomps
1923,L_Strawl,0,lengthcomps
1924,L_Strawl,0,lengthcomps
1925,L_Strawl,0,lengthcomps
1926,L_Strawl,0,lengthcomps
1927,L_Strawl,0,lengthcomps
1928,L_Strawl,0,lengthcomps
1929,L_Strawl,0,lengthcomps
1930,L_Strawl,0,lengthcomps
1931,L_Strawl,0,lengthcomps
1932,L_Strawl,0,lengthcomps
1933,L_Strawl,0,lengthcomps
1934,L_Strawl,0,lengthcomps
1935,L_Strawl,0,lengthcomps
1936,L_Strawl,0,lengthcomps
1937,L_Strawl,0,lengthcomps
1938,L_Strawl,0,lengthcomps
1939,L_Strawl,0,lengthcomps
1940,L_Strawl,0,lengthcomps
1941,L_Strawl,0,lengthcomps
1942,L_Strawl,0,lengthcomps
1943,L_Strawl,0,lengthcomps
1944,L_Strawl,0,lengthcomps
1945,L_Strawl,0,lengthcomps
1946,L_Strawl,0,lengthcomps
1947,L_Strawl,0,lengthcomps
1948,L_Strawl,0,lengthcomps
1949,L_Strawl,0,lengthcomps
1950,L_Strawl,0,lengthcomps
1951,L_Strawl,0,lengthcomps
1952,L_Strawl,0,lengthcomps
1953,L_Strawl,0,lengthcomps
1954,L_Strawl,0,lengthcomps
1955,L_Strawl,0,lengthcomps
1956,L_Strawl,0,lengthcomps
1957,L_Strawl,0,lengthcomps
1958,L_Strawl,0,lengthcomps
1959,L_Strawl,0,lengthcomps
1960,L_Strawl,0,lengthcomps
1961,L_Strawl,0,lengthcomps
1962,L_Strawl,0,lengthcomps
1963,L_Strawl,0,lengthcomps
1964,L_Strawl,0,lengthcomps
1965,L_Strawl,0,lengthcomps
1966,L_Strawl,0,lengthcomps
1967,L_Strawl,0,lengthcomps
1968,L_Strawl,0,lengthcomps
1969,L_Strawl,0,lengthcomps
1970,L_Strawl,0,lengthcomps
1971,L_Strawl,0,lengthcomps
1972,L_Strawl,0,lengthcomps
1973,L_Strawl,0,lengthcomps
1974,L_Strawl,0,lengthcomps
1975,L_Strawl,0,lengthcomps
1976,L_Strawl,0,lengthcomps
1977,L_Strawl,0,lengthcomps
1978,L_Strawl,1,lengthcomps
1979,L_Strawl,1,lengthcomps
1980,L_Strawl,1,lengthcomps
1981,L_Strawl,1,lengthcomps
1982,L_Strawl,1,lengthcomps
1983,L_Strawl,1,lengthcomps
1984,L_Strawl,1,lengthcomps
